/begin_header
/start_date=1997-01-01
/end_date=2019-07-19
/north_latitude=48[deg]
/south_latitude=32[deg]
/east_longitude=-60[deg]
/west_longitude=-80[deg]
! Date processed: 2019-07-19 17:56:40 GMT
! Date archived: 2000-01-01 to 2019-07-19
! Water depth: 0.0 to 10000
! Data source: seabass
! Exclusions:
!                                                             , VIIRS-SNPP          
!  Minimum valid satellite pixels                             ,                  50 
!  Maximum solar zenith angle                                 ,                  75 
!  Maximum satellite zenith angle                             ,                  60 
!  Maximum time difference between satellite and in situ      ,                   3 
!  Maximum coefficient of variation of satellite pixels       ,                0.15 
!  Maximum irradiance difference between measured and modeled ,                  20 
!  Maximum windspeed                                          ,                  35 
!  Most Data Recent Update                                    , 2019-06-27 17:39:43 
! Statistics:
!  Product Name , #   , Mean Bias , Mean Absolute Percent , Mean Absolute Error (MAE) , VIIRS-SNPP Range    , In situ Range       
!  chlor_a      , 128 ,   1.13114 , NaN                   ,                   1.42455 , 0.164524 - 47.68464 , 0.201000 - 22.88572 
/missing=-999
/delimiter=comma
/fields=id,latitude,longitude,date_time,cruise,viirs_filename,viirs_es_error,viirs_pixel_total,viirs_tdiff,viirs_solz,viirs_senz,viirs_cv,viirs_windspeed,viirs_chlor_a,insitu_chlor_a_type,insitu_chlor_a,viirs_rrs410,viirs_rrs443,viirs_rrs486,viirs_rrs551,viirs_rrs671
/units=none,degrees,degrees,yyyy-mm-dd hh:mm:ss,none,none,unitless,unitless,seconds,degrees,degrees,unitless,m*s^-1,mg*m^-3,unitless,mg*m^-3,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1
/end_header
466125,37.68346000,-75.98966000,2012-06-07 19:57:00,cbp06,V2012159173000.L2_SNPP.R0000028718_39N_37N_76W_75W_OCVAL.nc_4551_466125_B5.tgz,0.00000000,25,-8575,16.29,38.47,0.021,1.599,6.80813600,chl,9.15429000,0.00282400,0.00323200,0.00458000,0.00752700,0.00286400
467265,37.80013000,-76.17466000,2012-07-25 17:12:00,cbp06,V2012207173000.L2_SNPP.R0000028718_39N_37N_76W_75W_OCVAL.nc_4551_467265_B5.tgz,0.00000000,25,1308,19.00,39.12,0.073,1.586,19.81864900,chl,12.63800000,0.00030100,0.00072100,0.00162800,0.00364100,0.00161400
467277,37.23653000,-76.20799000,2012-07-25 20:10:00,cbp06,V2012207173000.L2_SNPP.R0000028718_39N_37N_76W_75W_OCVAL.nc_4551_467277_B5.tgz,0.00000000,25,-9383,18.43,40.33,0.078,2.835,12.77726600,chl,22.88572000,0.00085500,0.00124400,0.00215300,0.00429100,0.00161800
468897,39.16369000,-76.30631000,2012-09-20 16:57:00,cbp06,V2012264180000.L2_SNPP.R0000028718_39N_37N_76W_75W_OCVAL.nc_4551_468897_B5.tgz,0.00000000,24,4096,41.37,9.09,0.065,0.897,11.68709500,chl,6.40800000,0.00097900,0.00179500,0.00334400,0.00650000,0.00335600
470037,38.13705000,-76.22787000,2012-11-14 17:30:00,cbp06,V2012319173000.L2_SNPP.R0000028718_39N_37N_76W_76W_OCVAL.nc_4551_470037_B5.tgz,0.00000000,25,223,57.55,38.61,0.147,4.632,7.92845200,chl,11.74800000,0.00079000,0.00124800,0.00196700,0.00349100,0.00148400
470193,37.48680000,-76.15633000,2012-11-29 15:22:00,cbp06,V2012334174800.L2_SNPP.R0000028718_37N_37N_76W_75W_OCVAL.nc_4551_470193_B5.tgz,0.00000000,25,9022,60.74,13.90,0.084,0.509,5.27135500,chl,5.47350000,0.00238600,0.00278500,0.00381400,0.00578900,0.00196800
470199,37.58847000,-76.16216000,2012-11-29 16:07:00,cbp06,V2012334174800.L2_SNPP.R0000028718_37N_37N_76W_75W_OCVAL.nc_4551_470199_B5.tgz,0.00000000,25,6324,60.84,13.72,0.073,0.726,5.41317600,chl,6.14100000,0.00182000,0.00208000,0.00273500,0.00418400,0.00139400
470205,37.58124000,-76.05799000,2012-11-29 16:53:00,cbp06,V2012334174800.L2_SNPP.R0000028718_37N_37N_76W_75W_OCVAL.nc_4551_470205_B5.tgz,0.00000000,25,3562,60.85,13.11,0.055,0.894,5.93568500,chl,7.15560000,0.00210800,0.00256100,0.00353400,0.00559400,0.00192700
470211,37.68346000,-75.98966000,2012-11-29 17:37:00,cbp06,V2012334174800.L2_SNPP.R0000028718_37N_37N_76W_75W_OCVAL.nc_4551_470211_B5.tgz,0.00000000,25,924,60.96,12.44,0.064,1.293,6.03975600,chl,7.74300000,0.00159100,0.00206700,0.00290900,0.00457700,0.00165500
470217,37.77513000,-75.97466000,2012-11-29 18:17:00,cbp06,V2012334174800.L2_SNPP.R0000028718_37N_37N_76W_75W_OCVAL.nc_4551_470217_B5.tgz,0.00000000,25,-1475,61.06,12.13,0.050,1.589,6.51264000,chl,6.86571000,0.00196300,0.00235800,0.00322900,0.00519200,0.00187800
