/begin_header
/start_date=1997-01-01
/end_date=2019-07-19
/north_latitude=48[deg]
/south_latitude=32[deg]
/east_longitude=-60[deg]
/west_longitude=-80[deg]
! Date processed: 2019-07-19 17:52:24 GMT
! Date archived: 2000-01-01 to 2019-07-19
! Water depth: 0.0 to 10000
! Data source: seabass
! Exclusions:
!                                                             , SeaWiFS             
!  Minimum valid satellite pixels                             ,                  50 
!  Maximum solar zenith angle                                 ,                  75 
!  Maximum satellite zenith angle                             ,                  60 
!  Maximum time difference between satellite and in situ      ,                   3 
!  Maximum coefficient of variation of satellite pixels       ,                0.15 
!  Maximum irradiance difference between measured and modeled ,                  20 
!  Maximum windspeed                                          ,                  35 
!  Most Data Recent Update                                    , 2018-05-03 20:21:26 
! Statistics:
!  Product Name , #    , Mean Bias , Mean Absolute Percent , Mean Absolute Error (MAE) , SeaWiFS Range        , In situ Range       
!  chlor_a      , 1076 ,   1.01648 , NaN                   ,                   1.62156 , 0.039504 - 180.86721 , 0.024000 - 90.33500 
/missing=-999
/delimiter=comma
/fields=id,latitude,longitude,date_time,cruise,seawifs_filename,seawifs_es_error,seawifs_pixel_total,seawifs_tdiff,seawifs_solz,seawifs_senz,seawifs_cv,seawifs_windspeed,seawifs_chlor_a,insitu_chlor_a_type,insitu_chlor_a,seawifs_rrs412,seawifs_rrs443,seawifs_rrs490,seawifs_rrs510,seawifs_rrs555,seawifs_rrs670
/units=none,degrees,degrees,yyyy-mm-dd hh:mm:ss,none,none,unitless,unitless,seconds,degrees,degrees,unitless,m*s^-1,mg*m^-3,unitless,mg*m^-3,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1
/end_header
210286,37.09320000,-75.71090000,2005-07-26 18:30:00,b02_biome,S2005207172635.L2_MLAC.R0000020380_37N_36N_75W_75W.hdf_OCVAL.nc_b02_biome_210286_B5.tgz,0.00000000,25,-2751,19.35,33.85,0.033,1.344,1.25196100,chl_a,0.48600000,0.00632700,0.00596900,0.00599900,0.00553100,0.00495300,0.00101700
210287,36.91130000,-75.71770000,2005-07-26 20:28:00,b02_biome,S2005207172635.L2_MLAC.R0000020380_37N_36N_75W_75W.hdf_OCVAL.nc_b02_biome_210287_B5.tgz,0.00000000,25,-9828,19.20,33.69,0.026,1.394,1.79891200,chl_a,0.70300001,0.00615200,0.00580500,0.00589300,0.00572900,0.00571600,0.00121500
210293,36.68450000,-75.76770000,2005-07-27 18:34:00,b02_biome,S2005208180714.L2_MLAC.R0000020380_36N_36N_75W_75W.hdf_OCVAL.nc_b02_biome_210293_B5.tgz,0.00000000,25,-574,24.09,45.66,0.048,3.497,1.49219200,chl_a,0.64700001,0.00608900,0.00562500,0.00554100,0.00527500,0.00489100,0.00088400
210322,36.72600000,-74.80500000,2006-05-10 19:15:00,b03_biome,S2006130175941.L2_MLAC.R0000020381_36N_36N_75W_74W.hdf_OCVAL.nc_b03_biome_210322_B5.tgz,0.00000000,25,-3510,26.05,29.87,0.036,3.126,1.05769200,chl_a,0.77899998,0.00297800,0.00310500,0.00318100,0.00312200,0.00249400,0.00046300
210335,37.70100000,-75.05800000,2006-05-12 17:13:00,b03_biome,S2006132174152.L2_MLAC.R0000020381_37N_37N_75W_74W.hdf_OCVAL.nc_b03_biome_210335_B5.tgz,0.00000000,25,2746,23.75,26.48,0.023,2.093,1.40539800,chl_a,0.87800002,0.00366100,0.00435800,0.00527600,0.00518400,0.00458500,0.00078900
210336,37.63300000,-74.86500000,2006-05-12 19:02:00,b03_biome,S2006132174152.L2_MLAC.R0000020381_37N_37N_75W_74W.hdf_OCVAL.nc_b03_biome_210336_B5.tgz,0.00000000,25,-3794,23.80,25.65,0.045,2.028,0.96679200,chl_a,0.65600002,0.00283800,0.00338600,0.00399500,0.00371400,0.00298400,0.00044900
210337,37.57800000,-74.70200000,2006-05-12 20:37:00,b03_biome,S2006132174152.L2_MLAC.R0000020381_37N_37N_75W_74W.hdf_OCVAL.nc_b03_biome_210337_B5.tgz,0.00000000,25,-9493,23.84,25.04,0.019,1.962,0.88294800,chl_a,1.00100005,0.00252700,0.00282200,0.00322300,0.00296300,0.00230100,0.00032800
210339,36.80900000,-74.63000000,2006-05-10 17:45:00,b03_biome,S2006130175941.L2_MLAC.R0000020381_36N_36N_75W_74W.hdf_OCVAL.nc_b03_biome_210339_B5.tgz,0.00000000,25,1888,26.20,30.50,0.021,3.313,1.03278000,chl_a,1.42700005,0.00382500,0.00360500,0.00354800,0.00347800,0.00277800,0.00053100
210353,37.63130000,-75.15180000,2006-07-02 16:48:00,b04_biome,S2006183173336.L2_MLAC.R0000020383_37N_37N_75W_74W.hdf_OCVAL.nc_b04_biome_210353_B5.tgz,0.00000000,25,3837,17.80,36.69,0.036,6.115,0.60831800,chl_a,0.49700001,0.00523300,0.00494200,0.00447200,0.00386000,0.00292400,0.00045200
210354,37.53640000,-75.02880000,2006-07-02 19:25:00,b04_biome,S2006183173336.L2_MLAC.R0000020383_37N_37N_75W_74W.hdf_OCVAL.nc_b04_biome_210354_B5.tgz,0.00000000,25,-5582,17.79,36.02,0.015,6.426,0.60272000,chl_a,0.35800001,0.00526400,0.00491700,0.00449200,0.00384900,0.00291200,0.00047700
210355,37.37870000,-74.94700000,2006-07-02 20:47:00,b04_biome,S2006183173336.L2_MLAC.R0000020383_37N_37N_75W_74W.hdf_OCVAL.nc_b04_biome_210355_B5.tgz,0.00000000,25,-10499,17.71,35.45,0.017,6.366,0.55911600,chl_a,0.39399999,0.00539900,0.00509300,0.00472500,0.00399200,0.00293800,0.00052000
210358,36.60370000,-75.05260000,2006-07-03 17:27:00,b04_biome,S2006184181406.L2_MLAC.R0000020383_36N_36N_75W_75W.hdf_OCVAL.nc_b04_biome_210358_B5.tgz,0.00000000,25,3918,23.37,44.34,0.013,3.724,0.41794700,chl_a,0.20200001,0.00736900,0.00672200,0.00570900,0.00475100,0.00329300,0.00066700
210359,36.53250000,-75.27260000,2006-07-03 19:20:00,b04_biome,S2006184181406.L2_MLAC.R0000020383_36N_36N_75W_75W.hdf_OCVAL.nc_b04_biome_210359_B5.tgz,0.00000000,25,-2860,23.18,43.51,0.014,3.282,0.39732900,chl_a,0.33899999,0.00773600,0.00709700,0.00597400,0.00492300,0.00337400,0.00063100
5623,32.04080000,-64.65430000,1999-05-07 15:15:00,bats128,S1999127162019.L2_MLAC.R0000020412_32N_32N_64W_64W.hdf_OCVAL.nc_bats128_5623_B5.tgz,0.00000000,25,4896,15.98,23.39,0.077,4.216,0.08465500,chl,0.10600000,0.01089200,0.00949800,0.00661500,0.00396900,0.00177300,0.00016800
5651,32.15080000,-64.01220000,1999-07-08 16:13:00,bats130,S1999189160826.L2_MLAC.R0000020414_32N_32N_64W_63W.hdf_OCVAL.nc_bats130_5651_B5.tgz,0.00000000,25,802,9.76,30.92,0.021,5.939,0.04766800,chl,0.04300000,0.01493100,0.01195000,0.00743800,0.00404000,0.00191000,0.00033600
5999,32.08920000,-64.45300000,1999-08-02 17:05:00,bats131,S1999214163307.L2_MLAC.R0000020415_32N_32N_64W_64W.hdf_OCVAL.nc_bats131_5999_B5.tgz,0.00000000,25,-925,15.46,28.63,0.012,5.481,0.05302200,chl,0.06600000,0.01375500,0.01075600,0.00645100,0.00331200,0.00142300,0.00016900
6008,32.24850000,-64.53550000,2000-02-28 16:21:00,bats137a,S2000059163939.L2_MLAC.R0000020422_32N_32N_64W_64W.hdf_OCVAL.nc_bats137a_6008_B5.tgz,0.00000000,25,1748,40.56,29.25,0.036,2.656,0.12807000,chl,0.23999999,0.00833800,0.00706100,0.00510900,0.00322600,0.00154500,0.00015300
5695,32.11760000,-64.25430000,2000-06-05 17:09:00,bats141,S2000157154253.L2_MLAC.R0000020427_bats141_5695.hdf_OCVAL.nc_valtarg_B5.tgz,0.00000000,25,-4077,10.03,57.98,0.048,3.617,0.06675900,chl,0.07400000,0.01618600,0.01181400,0.00806900,0.00484900,0.00270300,0.00041900
5721,32.17020000,-64.47300000,2000-08-09 16:18:00,bats143,S2000222165553.L2_MLAC.R0000020429_32N_32N_64W_64W.hdf_OCVAL.nc_bats143_5721_B5.tgz,0.00000000,25,3215,19.87,53.40,0.070,4.357,0.06789400,chl,0.03600000,0.01162100,0.00965800,0.00623600,0.00353700,0.00153500,0.00017800
5723,32.50100000,-63.63030000,2000-08-11 16:16:00,bats143,S2000224164423.L2_MLAC.R0000020429_32N_31N_63W_63W.hdf_OCVAL.nc_bats143_5723_B5.tgz,0.00000000,25,2636,19.73,44.88,0.068,3.957,0.04589100,chl,0.02400000,0.01522900,0.01188400,0.00756500,0.00415900,0.00183300,0.00022100
5101,32.13140000,-64.53530000,2001-04-17 15:50:00,bats151,S2001107165025.L2_MLAC.R0000020439_32N_32N_64W_64W.hdf_OCVAL.nc_bats151_5101_B5.tgz,0.00000000,25,4606,24.27,47.84,0.035,5.870,0.30697000,chl,0.31200001,0.00402200,0.00446800,0.00419300,0.00305500,0.00175600,0.00026200
5769,32.05640000,-64.47310000,2001-07-19 16:48:00,bats154,S2001200154427.L2_MLAC.R0000020442_32N_32N_64W_64W.hdf_OCVAL.nc_bats154_5769_B5.tgz,0.00000000,25,-2629,12.16,57.52,0.054,5.411,0.06312300,chl,0.04300000,0.01294400,0.01040700,0.00681500,0.00366700,0.00174100,0.00027100
5784,32.16420000,-64.73840000,2001-08-09 16:48:00,bats155,S2001221155540.L2_MLAC.R0000020443_32N_32N_64W_64W.hdf_OCVAL.nc_bats155_5784_B5.tgz,0.00000000,25,-2044,16.64,49.90,0.024,2.738,0.05247900,chl,0.04500000,0.01388300,0.01106600,0.00690200,0.00353500,0.00155500,0.00011700
5122,32.07450000,-64.48020000,2001-09-11 17:09:00,bats156,S2001254162732.L2_MLAC.R0000020444_32N_32N_64W_64W.hdf_OCVAL.nc_bats156_5122_B5.tgz,0.00000000,25,-1598,28.49,22.09,0.011,6.835,0.05280500,chl,0.06000000,0.01423600,0.01117900,0.00686000,0.00364700,0.00166600,0.00018900
5127,32.19620000,-64.08000000,2001-09-14 16:20:00,bats156,S2001257165721.L2_MLAC.R0000020444_32N_32N_64W_64W.hdf_OCVAL.nc_bats156_5127_B5.tgz,0.00000000,25,3089,32.21,53.07,0.044,3.100,0.05505700,chl,0.06400000,0.01421100,0.01111600,0.00697200,0.00387500,0.00168200,0.00017700
5007,32.13260000,-64.56190000,2002-02-28 17:07:00,bats161,S2002059161913.L2_MLAC.R0000020450_32N_32N_64W_64W.hdf_OCVAL.nc_bats161_5007_B5.tgz,0.00000000,25,-2159,39.99,31.49,0.029,9.515,0.26473700,chl,0.45899999,0.00609400,0.00513400,0.00438000,0.00326200,0.00192000,0.00028600
5008,32.22350000,-64.54920000,2002-03-01 18:13:00,bats161,S2002060170104.L2_MLAC.R0000020450_32N_32N_64W_64W.hdf_OCVAL.nc_bats161_5008_B5.tgz,0.00000000,25,-3629,40.93,50.82,0.101,5.960,0.15917600,chl,0.41000000,0.00653900,0.00557500,0.00424900,0.00288500,0.00131000,0.00008600
5191,32.05990000,-64.23790000,2002-04-18 16:46:00,bats163,S2002108155011.L2_MLAC.R0000020454_32N_32N_64W_64W.hdf_OCVAL.nc_bats163_5191_B5.tgz,0.00000000,25,-2331,21.24,56.45,0.075,3.573,0.06584700,chl,0.03700000,0.01159800,0.00975600,0.00619900,0.00320500,0.00129400,0.00012100
5200,32.10110000,-64.47890000,2002-05-13 16:15:00,bats164,S2002133164306.L2_MLAC.R0000020455_32N_32N_64W_64W.hdf_OCVAL.nc_bats164_5200_B5.tgz,0.00000000,25,2794,17.31,38.50,0.020,3.886,0.06403800,chl,0.05500000,0.01213900,0.01020400,0.00647900,0.00361500,0.00158900,0.00018600
